German,English
anfangen,to begin
Habe,Have
hinten,behind
fällt,falls
wen,whom
Sekunden,seconds
Manchmal,Sometimes
gerettet,rescued
Naja,Well
Gibt,Gives
jemals,ever
Meinung,opinion
geschehen,done
Antwort,answer
schlimm,bad
Eigentlich,Actually
findet,finds
Scheiß,shit
gewinnen,win
Tu,Tu
Gedanken,thoughts
erinnere,remember
mögen,to like
Herren,Men's
klingt,sounds
vorher,previously
Auge,eye
hab',hab '
setzen,put
cool,cool
Anfang,Beginning
Immer,always
danach,after that
Monate,months
Lebens,life
Beste,best
benutzen,to use
Nehmen,To take
fühlen,feel
Ärger,trouble
arbeite,working
Rolle,role
gefährlich,dangerous
Dort,There
gelernt,learned
fallen,fall
böse,evil
werd,expectant
Nähe,neighborhood
geschickt,cleverly
liebt,loves
Tisch,table
Mehr,More
Ziel,target
Raum,room
jedem,each
fliegen,to fly
Wohnung,flat
Dafür,Therefore
erfahren,Experienced
dumm,stupid
eher,rather
vorsichtig,carefully
herum,around
Klappe,flap
schicken,send
Laden,load
aufs,onto
Wird,Becomes
Warten,Waiting
großer,greater
arbeitet,is working
Euer,Your
Worte,words
richtige,right one
Flugzeug,plane
Firma,company
bezahlen,pay
Einer,one
Glaubst,Do
falls,if
schreiben,write
tat,did
Darum,Therefore
starb,died
Schluss,Enough
Fenster,window
liegen,lie
wär's,bout
Verzeihung,forgiveness
niemanden,anyone
neues,new
Weiß,White
benutzt,used
nen,nen
jedes,each
schätze,wealth
Finger,finger
wert,value
rüber,over
halte,think
Falls,If
besonders,especially
Daddy,Daddy
Witz,joke
nachdem,after this
nimmt,takes
Kontrolle,control
großartig,Great
Herzen,heart
gutes,good
gewonnen,won
Bier,beer
kamen,came
Drei,Three
stolz,proud
Egal,No matter
komisch,funny
bitten,ask
Ihrer,Of their
plötzlich,suddenly
Bring,Bring
Informationen,information
bring,bring
neu,New
glaubt,believes
Seid,Are
hörte,heard
rum,rum
Lage,location
sowieso,anyway
bekommt,gets
Ruf,call
dagegen,on the other hand
Richtung,direction
nötig,necessary
Minute,minute
lesen,read
behalten,to keep
selber,himself
verkaufen,to sell
geschrieben,written
Entscheidung,decision
unterwegs,on road
Insel,island
Hotel,hotel
voller,full of
frage,question
Monat,month
rufe,call
verdient,earned
gearbeitet,worked
wenigstens,at least
wünschte,wish
tu,tu
schöne,lovely
Selbst,Self
Seele,soul
stand,was standing
Geist,ghost
Gefahr,danger
Gefallen,Like
unmöglich,impossible
gelesen,read
glaub,think
Wegen,Because of
bezahlt,paid
Schicksal,fate
verstehst,understand
leider,Unfortunately
Monaten,months
Weile,while
verheiratet,married
mussten,had
Agent,agent
rufen,call
jemandem,somebody
gib,give
Beispiel,example
kalt,cold
sitzt,seated
Anruf,Call
Sekunde,second
schneller,more quickly
hey,hey
verdammte,damned
euer,your
hole,get
Denkst,think
Bauer,Farmer
Karte,map
aller,all
du's,du's
Befehl,command
darfst,allowed to
bekannt,known
Opfer,Victim
unglaublich,incredible
steckt,plugged
Ernst,serious
unbedingt,necessarily
Wen,Whom
Zug,train
perfekt,Perfect
witzig,funny
Amerika,America
Keiner,none
Kamera,camera
führt,leads
passt,fit
schlagen,beat
kriegt,gets
Glauben,Believe
sieh,look
nennt,is called
bin's,bin's
Gefühle,feelings
ständig,constantly
verändert,changed
tolle,amazing
Gottes,God
heiß,hot
Partner,partner
Mörder,killer
folgen,consequences
Mich,Me
Computer,computer
dahin,then
ansehen,look at
Außerdem,also
Wovon,About what
nimm,take
klein,small
zerstört,destroyed
suche,search
I,I
nämlich,namely
Versuch,attempt
schlimmer,worse
Sheriff,sheriff
Unfall,accident
müsste,should
entschuldigen,to apologize
Vorsicht,Attention
Nase,nose
sowas,like this
schießen,shoot
alter,Age
Geburtstag,birthday
beschützen,to protect
Zurück,Back
müde,tired
Beziehung,relationship
gestohlen,stolen
stirbt,dies
Geheimnis,secret
süß,sweet
offen,open
Ihrem,your
Geschenk,gift
Punkt,Point
Über,about
hilft,help
Dame,lady
bewegen,move
solange,as long as
sauer,angry
Tasche,bag
Schritt,step
Sie's,she's
Setz,Sit
Arm,poor
meinte,said
müsst,need
erwischt,Caught
gehabt,had
Bart,beard
vertrauen,trust
erreichen,to reach
wär,would
Gebäude,building
Ähm,Um
versprochen,promised
O,O
fort,on
erledigt,done
Armee,army
nahm,took
näher,closer
weitere,Further
Will,Want
Rücken,move
Chef,boss
Regierung,government
Preis,price
Hm,Hm
Wunder,wonder
Verbindung,connection
Bescheid,decision
Boot,boat
Situation,situation
normal,normal
erledigen,take care of
mußt,must
Ehre,honor
Planeten,planet
fürs,for
darin,in this
kriegst,get
ich's,I ... it
drehen,rotate
Denk,thinking
Prinzessin,princess
Drogen,drugs
Reise,travel
Mord,murder
Ob,If
Toll,Great
schwöre,swear
Zeiten,times
Schlampe,slut
Regeln,regulate
aussehen,look
Rede,speech
verliebt,in love
Position,position
redet,talks
Scheisse,Fuck
Möglichkeit,possibility
Sonne,Sun
hol,hol
letzter,last
Kontakt,Contact
Könnte,Could
Damen,Ladies
deswegen,therefore
ähm,um
gekauft,Bought
Schwert,sword
Hunger,hunger
Frieden,peace
persönlich,personally
Blick,view
Einzige,Only one
Nachrichten,news
Maul,mouth
verraten,betray
Hoffnung,hope
geboren,born
Untertitel,subtitle
kaputt,broken
Soldaten,soldiers
eigene,own
ans,ans
übrig,left
Muss,Got to
hältst,hold
aufhalten,stop
Zeichen,character
Sofort,Immediately
dauert,lasts
versteckt,hidden
tatsächlich,indeed
Schwein,pig
Band,tape
Laß,Let
Haare,hair
wütend,angry
Hochzeit,wedding
schrecklich,dreadful
fühlt,feels
Energie,energy
traurig,Sad
sauber,clean
Leiche,corpse
links,Left
Kleine,little one
super,great
Bord,shelf
möchten,want
Erst,First
magst,like
fangen,to catch
gesucht,searched
beschäftigt,employed
wisst,know
weisst,know
Wartet,waits
erwarten,expect
verschwunden,disappeared
Professor,professor
sobald,as soon as
geredet,spake
Brief,letter
acht,eight
Lauf,run
zeigt,shows
Show,show
hübsch,pretty
sucht,investigated
verkauft,sold
sagtest,told
namens,called
Fernsehen,watch TV
wohin,where
Hol,Get
ließ,was
heiße,name is
fährt,moves
tanzen,to dance
nervös,nervous
findest,find
gegessen,eaten
fehlt,is missing
Vergangenheit,past
miteinander,together
deines,yours
neben,Next
Handy,mobile
anderer,another
tief,deep
ran,ran
Runter,down
Aufgabe,task
richtigen,right
Foto,photo
schau,show
verdammten,damned
Tee,tea
sieben,seven
Fuß,foot
geschlafen,slept
brauch,custom
Kindern,children
Beine,legs
ewig,forever
absolut,absolutely
hm,Hm
schlechte,bad
Unsinn,nonsense
ruf,call
Treffen,To meet
irgendetwas,anything
hörst,hear
Bombe,bomb
bekam,got
Herrn,Mr
Halten,Hold
gelassen,calmly
Tante,aunt
angefangen,started
Hals,neck
vorne,ahead
Bullen,cops
Bank,Bank
Weise,wise
verantwortlich,responsible
öffnen,to open
schwierig,difficult
seh,seh
bleibe,stay
rechts,right
Operation,surgery
Sollen,Should
Anwalt,lawyer
verspreche,promise
bleibst,stay
a,a
Glückwunsch,congratulation
entscheiden,decide
entfernt,away
brachte,brought
zerstören,to destroy
Wahrscheinlich,Probably
Lied,song
gespielt,played
aussieht,looks
Tun,To do
Lust,lust
Vaters,father
Uh,Uh
Meinst,mean
Bilder,images
uh,uh
kriege,wars
Feind,enemy
Händen,hands
jung,young
Ball,ball
stecken,stick
Sobald,As soon as
Reden,Talk
geholfen,helped
gleichen,equal
gehören,belong
wach,awake
genannt,called
zahlen,numbers
nahe,Near
Aufnahme,admission
Achtung,Danger
gleiche,same
Viele,Lots
Mission,mission
bekomme,get
laut,according to
Schmerz,pain
Ehrlich,Honest
Schlag,blow
Jawohl,Yes sir
Fleisch,flesh
legen,lay
möchtest,want
Verstehst,understand
Wozu,What for
Weihnachten,Christmas
Erinnerst,remember
Zieh,pull
Schwierigkeiten,trouble
Park,park
Durch,By
Bleiben,Stay
wussten,knew
meint,means
Gesellschaft,society
gebeten,asked
erhalten,receive
bedeuten,mean
Kennst,know Greek
verstecken,hide
Respekt,respect
dasselbe,the same thing
Gehirn,brain
entschieden,decided
zieht,attracts
liebst,love
dachten,thought
Witze,joking
na,n / A
sorgen,to care
All,Alles
Volk,people
Rat,advice
lebe,live
Präsidenten,President
Schuhe,Shoes
Monster,monster
dauern,last
Beweise,proofs
Hälfte,half
schauen,watch
Kirche,church
Eines,One
Hintern,butt
Spur,track
Lehrer,Teacher
Hilf,Help
Gold,gold
Denken,Think
lieb,dear
wunderbar,wonderful
Güte,quality
lasst,leaves
geliebt,loved
fahre,ride
Loch,hole
geschlagen,beaten
ganzes,whole
wunderschön,beautiful
lachen,laugh
beweisen,to prove
Zeig,show
Kleiner,Smaller
gegenüber,across from
Bus,bus
großes,great
Verstand,understanding
trägt,wearing
herausfinden,find out
gewartet,waited
niemandem,no one
Gegend,area
Bevor,Before
schönen,beautiful
seltsam,strange
bewegt,emotional
Haut,skin
Fotos,photos
nah,close
Angriff,attack
Erzähl,Tell
interessant,Interesting
Schlaf,sleep
Wind,wind
Messer,knife
lag,was
fürchte,fear
beginnt,starts
Weiter,Continue
überrascht,surprised
Stell,parking
gefangen,captured
bleib,permanent
Bein,leg
Eier,eggs
singen,to sing
seht,look
Überraschung,surprise
Dorf,Village
besorgen,to get
Glas,Glass
Fünf,five
Einfach,Easy
besuchen,visit
geändert,changed
beginnen,begin
echte,real
Pferd,horse
Held,hero
Taxi,taxi
Freunden,friends
mitnehmen,take
Gruppe,group
Sorry,Sorry
besorgt,concerned
System,system
Gleich,Equal
Würde,Would
ruft,calls
Fahren,Drive
Steh,standing
nimmst,take
Obwohl,Even though
Bringt,bring
falschen,false
leisten,Afford
schwanger,pregnant
Fahr,driving
Adresse,address
gemeinsam,together
entkommen,escape
übel,evil
vermisst,missing
Lady,lady
Küche,kitchen
Flug,flight
Besuch,visit
hängt,hangs
werfen,throw
falsche,false
Sogar,Even
Ring,ring
Verschwinde,Get lost
überleben,to survive
Gesetz,law
Tor,goal
Wald,Forest
ungefähr,approximately
Patienten,patients
Maschine,machine
Könnten,could
junge,Boy
Fräulein,young lady
gehts,you go
Ehe,marriage
Würden,would
Schauspieler,actor
Dach,"top, roof"
Übersetzung,translation
kannte,knew
Bringen,bring
wir's,we s
drinnen,indoors
Wisst,know
Während,While
Tat,did
Suche,search
Letzte,Latest
blöd,stupid
Blumen,flowers
Setzen,Put
Freiheit,freedom
seines,his
Ecke,corner
Wäre,Would
Knast,slammer
Karten,cards
pro,Per
Leg,Leg
helfe,help
oh,Oh
Wein,Wine
wette,bet
Vergnügen,pleasure
Uns,Us
Unterschied,difference
Lieber,Dear
Verbrechen,crime
gibst,give
Vertrauen,trust
gesund,healthy
Deswegen,therefore
zweite,second
Hörst,hear
erkennen,detect
Meter,meter
euren,your
weder,neither
Schüler,student
obwohl,even though
bisher,so far
welcher,which one
Mut,courage
davor,before
Bar,bar
wohnen,live
Dem,the
Echt,Really
statt,instead of
Pause,Break
Neues,New
Auftrag,assignment
Hoffentlich,Hopefully
Tschüss,bye
Wand,wall
schreit,screams
Männern,men
Kennen,Know
spreche,speak
kostet,costs
Zuerst,First
Erfolg,success
Wofür,For what
soweit,so far
Möchtest,want
Meinen,Say
teilen,divide
erschossen,shot
entlang,along
Eis,ice
nem,nEM
Amerikaner,American
Abendessen,dinner
Mistkerl,dirty swine
übernehmen,take
Irgendwas,Anything
danken,to thank
irgendwann,Sometime
gebaut,built
schützen,protect
beenden,break up
Super,great
Polizist,police officer
gefahren,hazards
Bericht,report
wovon,About what
Test,test
Monsieur,Monsieur
Arme,poor
wüsste,know
woher,where from
Majestät,majesty
Fertig,Finished
versteht,understood
trifft,meets
Meer,sea
Hut,cap
zuvor,before
lief,ran
Haltet,keep
Zeitung,newspaper
Mami,mommy
schuldig,guilty
bauen,to build
Freude,joy
zufrieden,satisfied
Zuhause,At home
versuchte,tried
Drink,drink
Niemals,No way
sprach,spoke
indem,by doing
gemeint,meant
fühlst,feel
deren,their
Quatsch,nonsense
Kugel,Bullet
Klingt,sounds
hielt,held
Gericht,dish
furchtbar,awful
Würdest,would
Wirst,will
verpasst,lost
Ohren,ears
Rose,rose
neuer,new
fanden,found
Haufen,heap
Drehbuch,script
Gutes,good
Schätzchen,baby
Deal,deal
Ma'am,ma'am
Haar,hair
stehe,am
fassen,take
Ehemann,husband
funktionieren,function
fragte,asked
verhaftet,arrested
drüber,about it
Sergeant,sergeant
stimmt's,right
Verantwortung,responsibility
Major,major
feiern,to celebrate
Bücher,Books
kümmere,take care
ähnlich,similar
unterhalten,to chat
Stein,stone
kümmert,takes care
nächstes,next
gewusst,know
Beim,At the
schöner,more beautiful
aufpassen,watch out
Unglaublich,Incredible
Katze,cat
geschieht,happens
Brüder,brothers
mitgebracht,brought
unseres,our
Verstehe,Understand
Lord,lord
letztes,last
dessen,whose
Vier,Four
mitten,in the middle
erinnert,remind
Wahnsinn,madness
vorhin,earlier
Neuigkeiten,news
setzt,puts
klasse,class
Einige,Some
zufällig,coincidentally
Kleid,dress
Jedenfalls,In any case
Angebot,offer
erklärt,explained
stellt,provides
Restaurant,restaurant
Kommst,Will
Zur,to
Serie,series
melden,Report
Brücke,bridge
Erinnerungen,memories
gestellt,posed
Sagt,says
Schmerzen,Pain
besteht,consists
verdienen,to earn
hallo,Hi
offensichtlich,obviously
Fisch,fish
hängen,hang
Gelegenheit,opportunity
Endlich,Finally
Möchten,Want
konntest,could
bekommst,get
Idioten,idiots
Virus,virus
größte,greatest
gingen,went
Strand,Beach
geplant,planned
betrunken,drunk
fängt,catches
keinem,any
bringst,bring
Süße,Sweet
irgendwelche,any
Thema,theme
Date,Date
Stellen,Put
machten,made
diesmal,this time
Guck,Look
Figur,figure
Weisst,know
ne,ne
brechen,break
lacht,laughs
Gar,At all
angetan,done
Paar,Pair
Druck,print
mitkommen,come along
reich,rich
Nie,Never
Fluss,River
wirkt,acts
Werden,Become
traf,hit
schließlich,in the end
Richtige,right one
Gewalt,violence
gelaufen,ran
Daten,Data
Hunde,dogs
Großvater,grandfather
wahre,real
nachgedacht,thought
Falle,Cases
eigenes,own
Gang,gear
sahen,saw
erreicht,reached
Willen,will
solchen,such a
schlechter,worse
einzigen,single
willkommen,welcome
ermordet,murdered
Tiere,animals
Sollte,Should
ner,ner
längst,a long time ago
Autos,cars
Hätte,Would have
wohnt,lives
krieg,war
fiel,fell
Hose,trousers
leiden,To suffer
Hau,Hau
sprichst,speak
freue,look
Außer,Except
gebrochen,Broken
Baum,tree
gehalten,held
Träume,dreams
Reihe,line
stelle,Job
Medizin,medicine
halb,half
gezeigt,shown
Meilen,miles
Lieutenant,Lieutenant
hieß,was called
Wunsch,wish
erster,first
Befehle,commands
Bastard,bastard
rief,cried
Nachdem,After this
Toten,Kill
Frühstück,breakfast
schaffst,manage
ihres,their
hat's,hath
aufgeben,give up
Gespräch,conversation
Engel,Angel
verbringen,spend
Terroristen,terrorists
Erfahrung,Experience
brauchte,needed
schätzen,estimate
seien,are
Nehmt,take
Bad,bath
Vogel,bird
Wochenende,weekend
neun,nine
fantastisch,fantastic
Bleibt,Remains
zweiten,second
vollkommen,completely
Unter,Under
verfolgen,follow
schläft,is sleeping
bemerkt,noticed
Marge,margin
Erste,First
erinnerst,remember
Deinen,your
Wichser,wanker
Signal,signal
Wollt,Want
Wieder,Again
schließen,shut down
Pistole,pistol
lächerlich,ridiculous
Filme,Movies